key,category,exerciseName,language_en,name_en,language_fr,name_fr
BENCH_PRESS_ONE_ARM_FLOOR_PRESS,BENCH_PRESS,ONE_ARM_FLOOR_PRESS,en,One-arm Floor Press,fr,Développé couché au sol à un bras
BENCH_PRESS_PARTIAL_LOCKOUT,BENCH_PRESS,PARTIAL_LOCKOUT,en,Partial Lockout,fr,Verrouillage partiel
BENCH_PRESS_REVERSE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,REVERSE_GRIP_BARBELL_BENCH_PRESS,en,Reverse-grip Barbell Bench Press,fr,Développé couché en supination
BENCH_PRESS_REVERSE_GRIP_INCLINE_BENCH_PRESS,BENCH_PRESS,REVERSE_GRIP_INCLINE_BENCH_PRESS,en,Reverse-grip Incline Bench Press,fr,Développé couché incliné en supination
BENCH_PRESS_SINGLE_ARM_CABLE_CHEST_PRESS,BENCH_PRESS,SINGLE_ARM_CABLE_CHEST_PRESS,en,Single-arm Cable Chest Press,fr,Développé pectoraux à un bras sur poulie
BENCH_PRESS_SINGLE_ARM_DUMBBELL_BENCH_PRESS,BENCH_PRESS,SINGLE_ARM_DUMBBELL_BENCH_PRESS,en,Single-arm Dumbbell Bench Press,fr,Développé couché avec haltères à un bras
BENCH_PRESS_SMITH_MACHINE_BENCH_PRESS,BENCH_PRESS,SMITH_MACHINE_BENCH_PRESS,en,Smith Machine Bench Press,fr,Développé couché sur Machine Smith
BENCH_PRESS_SWISS_BALL_DUMBBELL_CHEST_PRESS,BENCH_PRESS,SWISS_BALL_DUMBBELL_CHEST_PRESS,en,Swiss Ball Dumbbell Chest Press,fr,Développés couché avec haltères sur ballon d'exercices
BENCH_PRESS_TRIPLE_STOP_BARBELL_BENCH_PRESS,BENCH_PRESS,TRIPLE_STOP_BARBELL_BENCH_PRESS,en,Triple-stop Barbell Bench Press,fr,Développé couché arrêté
BENCH_PRESS_WEIGHTED_ONE_ARM_FLOOR_PRESS,BENCH_PRESS,WEIGHTED_ONE_ARM_FLOOR_PRESS,en,Weighted One-arm Floor Press,fr,Développé-couché unilatéral au sol
BENCH_PRESS_WIDE_GRIP_BARBELL_BENCH_PRESS,BENCH_PRESS,WIDE_GRIP_BARBELL_BENCH_PRESS,en,Wide-grip Barbell Bench Press,fr,Développé couché prise large
CALF_RAISE_CALF_RAISE,CALF_RAISE,CALF_RAISE,en,Calf Raise,fr,Extension des mollets
CALF_RAISE_DONKEY_CALF_RAISE,CALF_RAISE,DONKEY_CALF_RAISE,en,Donkey Calf Raise,fr,"Lever de mollet, exercice du chameau"
CALF_RAISE_SEATED_CALF_RAISE,CALF_RAISE,SEATED_CALF_RAISE,en,Seated Calf Raise,fr,Exercice de mollet assis
CALF_RAISE_SEATED_DUMBBELL_TOE_RAISE,CALF_RAISE,SEATED_DUMBBELL_TOE_RAISE,en,Seated Dumbbell Toe Raise,fr,Elévation des orteils assis avec haltères
CALF_RAISE_SINGLE_LEG_BENT_KNEE_CALF_RAISE,CALF_RAISE,SINGLE_LEG_BENT_KNEE_CALF_RAISE,en,Single-leg Bent-knee Calf Raise,fr,"Lever de mollet sur une jambe, genou fléchi"
CALF_RAISE_SINGLE_LEG_DECLINE_PUSH_UP,CALF_RAISE,SINGLE_LEG_DECLINE_PUSH_UP,en,Single-leg Decline Push-up,fr,Pompe sur une jambe avec pieds surélevés
CALF_RAISE_SINGLE_LEG_DONKEY_CALF_RAISE,CALF_RAISE,SINGLE_LEG_DONKEY_CALF_RAISE,en,Single-leg Donkey Calf Raise,fr,"Lever de mollet sur une jambe, exercice du chameau"
CALF_RAISE_SINGLE_LEG_HIP_RAISE_WITH_KNEE_HOLD,CALF_RAISE,SINGLE_LEG_HIP_RAISE_WITH_KNEE_HOLD,en,Single-leg Hip Raise with Knee Hold,fr,Extension des hanches sur une jambe avec main sur genou
CALF_RAISE_SINGLE_LEG_STANDING_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_CALF_RAISE,en,Single-leg Standing Calf Raise,fr,Extension des mollets sur une jambe
CALF_RAISE_SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE,CALF_RAISE,SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE,en,Single-leg Standing Dumbbell Calf Raise,fr,Lever de mollet debout sur une jambe avec haltère
CALF_RAISE_STANDING_BARBELL_CALF_RAISE,CALF_RAISE,STANDING_BARBELL_CALF_RAISE,en,Standing Barbell Calf Raise,fr,Extension des mollets debout avec barre de poids
CALF_RAISE_STANDING_CALF_RAISE,CALF_RAISE,STANDING_CALF_RAISE,en,Standing Calf Raise,fr,Exercice de mollet debout
CALF_RAISE_STANDING_DUMBBELL_CALF_RAISE,CALF_RAISE,STANDING_DUMBBELL_CALF_RAISE,en,Standing Dumbbell Calf Raise,fr,Lever de mollet debout avec haltères
CALF_RAISE_WEIGHTED_DONKEY_CALF_RAISE,CALF_RAISE,WEIGHTED_DONKEY_CALF_RAISE,en,Weighted Donkey Calf Raise,fr,Chameau avec poids
CALF_RAISE_WEIGHTED_SEATED_CALF_RAISE,CALF_RAISE,WEIGHTED_SEATED_CALF_RAISE,en,Weighted Seated Calf Raise,fr,Extension des mollets assis avec poids
