key,category,exerciseName,name_en,name_fr
BANDED_EXERCISES_REVERSE_CRUNCH,BANDED_EXERCISES,REVERSE_CRUNCH,Banded Reverse Crunch,Crunch inversé avec élastique
BANDED_EXERCISES_ROW,BANDED_EXERCISES,ROW,Banded Row,Rowing avec élastique
BANDED_EXERCISES_SHOULDER_ABDUCTION,BANDED_EXERCISES,SHOULDER_ABDUCTION,Banded Shoulder Abduction,Abduction d'épaule avec élastique
BANDED_EXERCISES_SHOULDER_EXTENSION,BANDED_EXERCISES,SHOULDER_EXTENSION,Banded Shoulder Extension,Extension d'épaule avec élastique
BANDED_EXERCISES_SHOULDER_EXTERNAL_ROTATION,BANDED_EXERCISES,SHOULDER_EXTERNAL_ROTATION,Banded Shoulder External Rotation,Rotation externe de l'épaule avec élastique
BANDED_EXERCISES_SHOULDER_FLEXION_TO_90_DEGREES,BANDED_EXERCISES,SHOULDER_FLEXION_TO_90_DEGREES,Banded Shoulder Flexion to 90-Degrees,Flexion de l'épaule à 90 degrés avec élastique
BANDED_EXERCISES_SIDE_CURL_WHEELCHAIR,BANDED_EXERCISES,SIDE_CURL_WHEELCHAIR,Banded Side Curl,Curl latéral avec élastique
BANDED_EXERCISES_SIDE_PLANK_LEG_LIFTS,BANDED_EXERCISES,SIDE_PLANK_LEG_LIFTS,Banded Side Plank Leg Lifts,Lever de jambe en planche latérale avec élastique
BANDED_EXERCISES_SQUAT,BANDED_EXERCISES,SQUAT,Banded Squat,Squat avec élastique
BANDED_EXERCISES_SQUAT_TO_PRESS,BANDED_EXERCISES,SQUAT_TO_PRESS,Banded Squat to Press,Squat et presse avec élastique
BANDED_EXERCISES_STRAIGHT_ARM_PULL_DOWN_WHEELCHAIR,BANDED_EXERCISES,STRAIGHT_ARM_PULL_DOWN_WHEELCHAIR,Banded Straight-arm Pull-down,Tirage bras tendus avec élastique
